"Label (Grouping)","Columbus, OH Metro Area!!Estimate","Columbus, OH Metro Area!!Margin of Error"
"Total population in occupied housing units:","2,172,676","±649"
"Owner occupied:","1,456,268","±20,108"
"Moved in 2023 or later","121,335","±11,839"
"Moved in 2020 to 2022","294,678","±15,574"
"Moved in 2010 to 2019","541,896","±18,522"
"Moved in 2000 to 2009","251,936","±14,994"
"Moved in 1990 to 1999","131,515","±9,280"
"Moved in 1989 or earlier","114,908","±9,059"
"Renter occupied:","716,408","±20,126"
"Moved in 2023 or later","264,274","±16,254"
"Moved in 2020 to 2022","233,961","±16,861"
"Moved in 2010 to 2019","175,532","±13,106"
"Moved in 2000 to 2009","26,135","±3,802"
"Moved in 1990 to 1999","7,304","±2,413"
"Moved in 1989 or earlier","9,202","±2,916"
